mode,seed,steps,agents,metric_label,initial_task,final_task,initial_distance_mean,initial_distance_variance,initial_distance_p90,initial_distance_p90_tail_mean,initial_distance_mad,final_distance_mean,final_distance_variance,final_distance_p90,final_distance_p90_tail_mean,final_distance_mad,improvement,final_entropy,final_clique_count,final_mean_clique_size,final_spatial_entropy,final_voronoi_area_variance,mean_trajectory_length
tracking,7,120,10,Mean target distance,41.549320063904176,12.354693798434397,41.549320063904176,304.3487524279941,60.544096415866356,68.10162542234907,16.750722013304404,12.354693798434397,21.03471482763403,17.378769005578793,18.091873244604812,3.812165860218215,29.19462626546978,1.431482063927668,5.0,3.2,0.3983288122256524,611316.9056253185,69.46080148692097
dispersion,108,120,10,Spatial entropy,0.4999999999999999,0.4698970004336019,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.030102999566398003,1.4661670548117904,6.0,2.6666666666666665,0.4698970004336019,678537.9000585799,122.18583833427037
multi_goal,209,120,10,Mean target distance,29.054347834881177,6.679848699310765,29.054347834881177,96.9666704093253,36.42048924730622,52.27818200468917,7.549015436285029,6.679848699310765,0.01025133075363115,6.772382145930853,6.843551330242333,0.08356679683024133,22.374499135570414,1.370470633286374,3.0,3.3333333333333335,0.4999999999999999,231466.312081696,40.54098049169187
tracking,1007,120,10,Mean target distance,39.412395680562426,19.01408097482756,39.412395680562426,237.28643387696752,56.276855788533034,69.1209634740964,12.213264434128652,19.01408097482756,43.81115478837761,25.33871731837812,27.28193686307603,5.337999942070048,20.398314705734865,1.586123320280146,4.0,3.75,0.3267606240177031,754269.800037032,68.60452853741484
dispersion,1108,120,10,Spatial entropy,0.4999999999999999,0.37958800173440754,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.12041199826559235,1.3986377681531812,7.0,3.2857142857142856,0.37958800173440754,724124.3025334559,125.51359419340402
multi_goal,1209,120,10,Mean target distance,21.91656073710029,6.761150872494137,21.91656073710029,109.72706732162092,32.56732643041095,34.63022397833276,9.362085508155243,6.761150872494137,0.016017706398583926,6.923927668726789,6.931674123787565,0.10108130311665935,15.155409864606153,1.3704706703551608,3.0,3.3333333333333335,0.4698970004336019,396075.4547000012,32.43916773283439
tracking,2007,120,10,Mean target distance,30.018857459073587,10.25422927920045,30.018857459073587,185.94312342035454,47.38609802373923,47.753581224047174,12.33007793779126,10.25422927920045,8.429689126505622,13.704440925861741,14.77111840975142,2.4241769351516402,19.764628179873135,1.4194117643501247,8.0,4.125,0.3983288122256525,690427.1803239988,54.76935194588377
dispersion,2108,120,10,Spatial entropy,0.4999999999999999,0.4698970004336019,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.030102999566398003,1.423607326107375,6.0,3.1666666666666665,0.4698970004336019,782964.3289107662,127.04252006452154
multi_goal,2209,120,10,Mean target distance,25.950490778152492,6.747274386298282,25.950490778152492,82.14338479264039,35.044247806423364,44.50606436276304,6.896635095466775,6.747274386298282,0.008034653692354786,6.8437237720166255,6.911110609703482,0.0754983609702344,19.20321639185421,1.3704752124384263,3.0,3.3333333333333335,0.4698970004336019,179534.62888228847,37.75995708457226
tracking,3007,120,10,Mean target distance,40.73166136341719,8.295278463947735,40.73166136341719,78.72803758446197,45.872513445475875,57.89938535411252,6.2984632967977925,8.295278463947735,5.501650655111711,10.825089586961951,12.755849081485126,1.990042740195537,32.43638289946945,1.4077146824275515,9.0,4.444444444444445,0.3381228130928563,507258.63299264415,64.12516241945683
dispersion,3108,120,10,Spatial entropy,0.4999999999999999,0.4698970004336019,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.030102999566398003,1.4295269327039015,5.0,2.2,0.4698970004336019,682522.6497285928,122.67067056284843
multi_goal,3209,120,10,Mean target distance,24.12279399285847,6.720587438688663,24.12279399285847,75.95623274052758,33.86543149739848,41.51365157654107,7.99852142541018,6.720587438688663,0.007715539026246469,6.836358553837339,6.84412863095688,0.07944411593146813,17.402206554169805,1.3704704921895405,3.0,3.3333333333333335,0.4698970004336019,296370.08795685205,34.51935834493376
tracking,4007,120,10,Mean target distance,41.527339153608004,10.477157068924681,41.527339153608004,223.61566235850592,60.59682254767739,61.84066225082913,12.829302719599687,10.477157068924681,9.214018267314955,14.330109249435306,14.78716283076982,2.706437996391486,31.05018208468332,1.4213018455661166,7.0,3.5714285714285716,0.3983288122256524,751974.2377271332,60.00855782236681
dispersion,4108,120,10,Spatial entropy,0.4999999999999999,0.4698970004336019,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.030102999566398003,1.4549689696421582,7.0,2.2857142857142856,0.4698970004336019,659978.4953455307,128.17369106910454
multi_goal,4209,120,10,Mean target distance,29.999777808436725,6.822999755014436,29.999777808436725,106.07751706179947,35.958368305641194,57.997129888331635,7.433222348361804,6.822999755014436,0.02876441923198315,7.014782832004587,7.121424508944455,0.1232866310826271,23.17677805342229,1.3704708232813618,3.0,3.3333333333333335,0.4698970004336019,273197.90237579856,42.6791095394996
